comment_cleaned,label
اسنپ کلا کارش درست هستش کارتون عالیه,1
طعم بسته مرتب ممنون,0
غدا انگار مال روز کتلت بیمزه,1
کیفیت اصلا مزه گوشت نمیداد اصلا,1
تکههای سوخته کف دیگ توی آش مانده تلخ,1
بازم نان خشخاشی سفارش دادم آجیل فرستاد جاش توضیحاتش نوشته بودم خواهش بودم اضافهای نزنه مگه,1
غذا فوقالعاده خوشمزه ممنون رستوزان شنزار امیدوارم کیفیت همینجوری بمونه,0
چلو جوجهکباب مخصوص دفعه گرونتر وزن جوجه معمولی کوچیک برنجش کمتر وعده رژیمی خاطر امتیاز میدم بررسی بشه پول مخصوص میگیری معمولی میدی,0
واقعا کیفیت غذا افتضاح کوبیده شور سوخته جوجه مزه نشده تقریبا خام بد مزه سبزی همراه غذا مونده واقعا پولم حروم,1
غذاهای نوشیدنیها یخزده همزمان سرو غذا,0
واقعا دست اون آشپز بوسید آشپزی عالیشون,0
غذا سرد زمان تحویل,1
موقع مرتب,0
مرغ طوری گریل وسطش نپخته گوشت مرغ سفت پنیر همراهش اصلا خوشمزه,1
اندازهی ساندویچها گذشته کوچکشده قیمت اندازهها تقریبا نصف غذا سرد ساندویچ مخلوط تقریبا ساندویچ مرغ تکههای انگشتشمار گوشت سس اصلا قابلمقایسه ناراحتکننده,1
کباب لقمه مخصوص خشک سوخته نمک,1
نان پیک ممنون اسنپ,0
پاستا فیله گوشت گوساله سس گوجهفرنگی تازه خوشمزه بینهایت چرب,1
سلام چهارمین بارم رستورانتون سفارش غذا میدادم دفعههای دفعه خوراک جوجه کباب برگ گوسفندی جالب یه مقدار سفت,1
سوپ تند بیمار سوپ باشن بتونن استفاده کنن,0
انتقاد نداره,0
حلیم جوری انگار ژلاتین مزش حلیمای دیگه فرق خوشمزه,1
خلال دندانها ریخته,0
کیفیت پایین سوخاری فیله دینر افتضاح,1
انصافا ساندویچ هاش مخصوصا ساندویچ کشک بادمجون دوست دارم,0
تازه موقع تحویل,0
مساله اساسی پنیر پیتزا خمیر خام فکرکنم برشته مینمودند,1
وتازه ممنون شیرینی قصر,0
بربری سنتی بربری فانتزی آورده بربری کرهای بوی سیر میده انگار نان سیر نگهداری,1
خمیرپیتزاخیلی وموادش معمولی,0
خوشمزه مقدار مخلفاتش,0
سس قارچ گوجه ساندویچ وحشتناک اثری سس قارچ دیده میشد ساندویچ خشک باشه,1
ممنونم ماری صبحانه دلجسب لذیذی خوردم لطف,0
طعم غذا بموقع,0
نقطهضعف فروشگاه جایزه بدید باتشکر,1
کیفیت زرشک پلو مرغش واقعا پایین ضمنا دوتا نوشابهی قوطی سفارش دادم بطری آوردن برام,1
دستمال حولهای چشمک کاملآ خیس,1
فوقالعاده مخصوصا سرعت ارسال,0
سالاد ظاهر سالاد سزاز پنیرش مزه کشک میداد کاهوی استفاده ابدا تازه وجاهایی ازش حالت زنگ دراومده حس میکردی درستی شسته نشده سس سالاد سس ساده وعادی سزار ظرف سس داخل ظرف سالاد مطلقا عمل بهداشتی,1
ارسال سفارشم,1
غذا یخ سوخته نوشابه ارسال نشد,1
شیرنی مانده وبیات,1
غذا سرد ریحون تقریبا اصلا,0
راضی هستم سفارشم اسرع وقت بطور آوردند ممنونم,0
مرغ سوخاری اصلا کیفیت سابق نداشت,1
پیک قیمت سیگار یه مقدارکوچک گرانتر,0
سفارشم زود سمبوسه سرد سرد نظرات خوندم مشکل چ ا رسیدگی نمیکنید,1
مرغ پخته برنج شفته,1
پیتزا گریل استیک قیمت ارزش خرید نداشت,0
لطفا میلک شیک نی قطورتر بذارین,0
غذا سرد بسته نامناسب غذا زمانی لهشده بعلاوه کیفیت پایین غذا طعم بد,1
ریختن شکل کیک,1
کتلت خیارشور وگوجه کتلت فرستادهشده,1
بستنیها انتهای پاکت انداخته شیر باقی وسایل انداخته بستنیها حالت,1
پپرونی دفه شور سرد,1
غذا ازمان ارسال پیامک ارسال زمان دقیقه کشید سرد پیتزا درست برش نخورده,1
بنده مشتری بودم واقعا حجم غذاهاتون غذا سرد دست,1
درست موقع دستم توی توضیحات ازشون خواسته بودم موجود نداشتن جایگزین نکنن باهام تماس بگیرن,0
شیلا برگر سیبزمینی تازه نبودن طعم بدی,1
ساعت ربع زمان غذا دوبار پیگیری التماس غذا سرد اگه نظراتمون سانسور نشه همچین رستورانهایی نمیان وقتها یه غذر خواهی درست نمیکنه احترام مشتری چیزه خوبیه کار کنین,1
زمان آماده سفارش,0
تازه خوشمزه سریع اومد فقطای کاشی گزینه انتخاب مدل مثلا دانمارکی توی گزینهها بذارید ک مدل دانمارکیشم خودمون بتونیم انتخاب سپاسگذارم,0
برگرلند کیفیت غذاها جهت ثابت نگاهداشتن قیمت طرز محسوسی پایین آورده داخل ماشروم برگر مجموع ده برش قارچ طعم گوشت مانده نمیکنم دیگه سفارش بدم,1
شیرینیتر سفارش میدم مسلما میخوام سالم برسه جعبه خیس جندعدد شیرینیهای جعبه فرمتش خرابشده,1
ازخوابگاه سفارش دادیم پیک غذا گذاشته نگهبانی زنگ نزده دفعه بخاطر همینکار غذای سرد خوردیم,1
پیک مودب خوشبرخورد خدا,0
جوجه کوچیک اندازه گنجشک,0
غذای سفارش دادهشده کباب نگینی غذای تحویلی قیمه بخاطر شرایطم خوردم,1
مضخرف بیکیفیت فکرر هفته تولیدش میگذشت,1
غذا زود بسته طعم غذا,0
سس سالاد میگو مزه روغن ماشین میداد,1
گرون واقعا حیف دقتا مجبور میشه آدم بخره مفت گرونه,1
برخورد پیک شایسته,0
محل تحویل نشد پیاده تحویل بگیرم کوچه پشتی تحویل پیک امتناع,1
بسیا بوی گوشت نمیداد کاش پنیرش,0
ساندویچهای فود عالیه رستورانهای اطراف بهتره پیتزاش قیمتش بد برگر هات داگش حرف نداره کیفیت پایین نیارید,0
غذا سرد بیکیفیت غذا سرد توی ظرف یکبار مصرف ریخته,1
واقعا ستاره بخاطر اسنپ پیک عزیزی اینو رسوند شیراز برگر واقعا پیتزاهاش دقت خرج بده,1
متفاوته سسش یچیری مایههای سس پاستاس خوشمزه س,0
سیبزمینی سرد سوخته خوشمزه,1
غذا کلا سرد ماسیده کلا پیتزا اسلایس نکرده همینجوری گذاشته نو جعبه,1
تازه سریع ممنون,0
بجز سرعت ارسال کاش مقدار برنج غذا افزایش,0
رستوران درخواست کردیم گفتن بیست دقیقه نیم ساعت میرسونن دیرتر غذا معمولی طعمش بد,1
فست فود معمولیه قبلا قیمتاش الان همون قیمتاش دیگه کلا کیفیتش معمولیه سختگیرم هستم,0
شیرینیها تازه خوشمزه باکس شیرینی کج سنت انورهها برعکس مقوای گرد شیرینی چسب جعبه شیرینی بچسبانید مسیر مشکل رخ نمیدهد,0
خوشمزه معمولی هایدا توقع داشتم,0
زود کیفیتش,0
وضعیتیه کیک لهشده,1
غذا واقعا بد برنج نپخته کباب مزه نداشت پیازش زیره دندون حس میشد ماست اسفناج یه ماست وخیارفرستاده انقدرمونده کشمشش لهشده سوپ قارچ سوپ جو فرستاده متاسفم شدم سفارشم,1
تنوع نان تشکر ارسال عاجل,0
افتضاحترین غذای بوود جوری روتون میشه اسم اینارو بزارین غذا ریختیمش غذای مونده شور ته واقعا متاسفم,1
دقیق موقع,0
مقدار بادامزمینی کمتراز پند گرم وهمچنین آجیل مالزی اصلا خوردن,0
کیفیت غذا گوشت مزه نشده بینمک,0
اندازه همون فود پارتی ارزش داره یه پیتزای ده سانت ده سانت حلقه سیبزمینی,0
زمان ارسال کمتر دقیقه کیفیت راضیم,0
میومد کیک تازه مونده مود,0
اجناس باقیمت بالاتری حساب نکتارهلو قیمتش بسته تومن وباقیمت تومن حساب اسنک برانچی چی توز قیمت تومنه حساب آب قیمت تومن زده حساب لطفاپیگیری,1
ساندویچ یه نون قطر سانت یکلایه نازک املت نشان دادهشده مزه نون حس میشد رابطه پیتزا پیتزا یه نن تست رب پنیر پیتزا ریخته واقعا آبمیوهها بقیش بیمزه,1
نان بیات هات داگ پیتزای سوخته,1
میشه برگراتور ناراضی کاش میشد هرروز برگر سیبزمینی سوخاری بخورم,0
رولت نون خامهای مخصوصشون حرف نداره خامه سبک خوشمزه سپاس فراوان,0
خوشمزه سس پنیر زیب زمینی جدا گانه بودش نظرم سس سیر سس قرمز مقدارش یکم,0
ساعت کشید سفارش اشتباه فرستادن اخرشم پیک اومده میگه ببینم سفارشی اوردم چی رفتن چهل دقیقه یه پیتزا اوردن مهمون بودم ابروم نصفهنیمه غذا اوردن تاسف تاسف تاسف,1
سرعت ارسال سپاس گزارم,0
شیر تازهتری میاوردن درسته مدتدار اگه حصوری میکردم مسلما شیری ماه تولیدش گذشته خریداری نمیکردم کودکم عجیبه مغازه مونده,0
کیفیت پایین توصیه میکنم امتحان سفارش نده,1
غذای تحویل دادهشده سفارش دادهشده تطابق نداشت,1
زود داغ بسته نریخته ظرف سمنو تمیز سوپ داغ گذاشته نشه همونطور دوستان گفتن نان لواش قاشق خبری بهتره غذا نوشته نشه حلیم مقدار گوشت خوشمزه,0
تخم مرغها بسته شکسته واقعا متاسفم,1
حجمش گرم دستم درکل,0
دوازده فرستاده بودید لطفا هزینه برگردونید حساب کاربریم پیشاپیش ممنون,1
ماست موسیر گرفتم ماست ساده فرستادن,1
تشکر غذا,0
رستوران رفتاری غذایی تصور بد درصد گوجهفرنگی,1
غذا گرم دستمون,0
جوجه خشک سوختگی مزه غذا تعریفی نداشت,1
سلام علیکم وقت بخیر سفارش سولدوش ابروی جلوی مهمانها مجبور شدیم قنادی محل شیرینی بخریم شیرینیهای دفورمه خامه شل شیرینی بیکیفیت شکسته حمل بد شیرینیها جعبه افتاده خلاصه ناراضی هستم توقع دلجویی دارم,1
کیفیت غذا سابق بنده عنوان مشتری دائم ناراضیام,0
ادویه مشکل غذاها مزه نبودند کیفیت معمولی,0
برخورد پیک هزینهای پیتزا کیفت طعم مناسبی نداشت نهایتا هزار تومن ارزش تومن,1
طعم کیفیت غذا برخورد پیک ممنونم,0
خوشمزه داغ ترد تازه ممنونم مدیریت پرسنل فست فود آرتین ممنون اسنپ فود,0
آب آناناس پز شکر,1
مشتری همیشگی هستم غذا اصلا نان ساندویچ حجیم بوی تخممرغ شدیدی میداد نانهای قبلی داشتین,1
فلفل داخل گذاشته نشده خودمون رفتیم خریدیم کیفیت متوسط,0
غذا کیفیت نوشیدنی سرد اسنپ فود ممنون بابت تحویل سریع غذا,0
شیرینی مکزیکی کاش بشه انواع مختلف جدا ساده شکلاتی نسکافهای پیراشکی تازه سپاس,0
آلبالو بسته زیبا موارد تست زحمت کشیدین حتما سفارش خواهم مجموعه,0
سیب زمینیها تازه ترد مجموع ممنون,0
ممنون بابت درنظر گرفتن تخفیف,1
غذاها دیر خوشبختانه گرم,0
شور اصلا خوردن,1
واقعا کارتون اشتباست شیرینی مونده میفرستین قطعا اینجوری دیگه ازتون خرید نمیکنم سفارش میکنم اطرافیانم اینوارو نکنن,1
غذا گرم سریع ممنونم,0
کیفیت پیتزاش,0
بیکیفیتترین پیتزاها بیکیفیتترین سیبزمینیها مخلوط کردنی اسمش آشپزی,1
مثه,0
ساندویچ رویال پنیر قارچ اضافه تازه پنیر قارچش اندازه میشه طعمش موقع,0
خرید میکنم فوقالعاده بیکیفیت مونده کیک واقعا زور خورد کیکو,1
منو بزنید حلیم گوشت گوشت شاهرگ گوسفندی دی لطفا منتشر دیگه یی نمیشد واقعا,1
خوش مره مخصوصا جوجه فسنجونی,0
کیندر گرمی سفارش دادم کیندر گرمی میفرستین وضعشه,1
مدیریت سفارش ممنون,0
خوشمزه خمیرش یکم ضخیمتر میشد نون لواش,0
عدد چی پف فرستادهشده ارزش زنگ زدن پشتیبانی صف انتظار طولانی نداشت لطفا ارسال دقت,0
نان خامهای سفت خوشمزه,1
سس مزه,1
مرغ مزهی مناسبی نداشت,0
بسته یه جوری نصف ساندویچ ریخت ندیده بودم کباب ترکی توی اون نون اون جوری بپیچن واقعا تعجب کیفیتش اصلا,1
مرغ سخاری بد,1
SAD,1
ساعت غذا سفارش دادم ساعت دستم واقعا اینقدر تاخیر غذا خوبه غذا کالا سردشده,1
نان ساندویچ تازه خورد,1
کیفیت هات داگ مکزیکی پایین کیفیت هات داگ استفادهشده اونطور تند قبلا هات دیگهای رستوران,1
انقدر ثعلب نی نمیومد,0
ممنون ارسال سریع غذا گرم تازه کیفیت غذا راضیکننده حجم غذا نفر خوردیم اضافه اومد مرسی موفق باشید,0
نان تست تقریبا قیمت نصف نان تست بزرگه فروشگاه نداشت بستهها نان,0
ساندویچ فوقالعاده خوشمزه ابدار ریحون داخلش حرف نداشت نمرش نمره نیم نمره اگه پنیر نداشت میشد,0
غذای کیفیت گرم لذیذ,0
غذا گرم باکیفیت ارسال سریع ممنون,0
سس قرمز دونهام برامون نزاشتید,1
غذا سرد تقریبا سبزیجات مزخرفترین غذاهامو خوردم,1
کیفیت طعم عادی کارتن پیتزا بوی بدی میداد,1
شیرینیها تازه خوشمزه رفتار پیک حاملا محترمانه ساعت زمان واسه ارسال شیرینی هست نان خامه ایها تازه موفق باشید,0
سیبزمینی سرد مقدارش سس مخصوص تقریبا هیچی نریخته بودین سس تکنفره کلا نمیدین اگه بدین مینی تک نفره یه دونه دوتا غذا قارچ پنیر سینی همبرگر آب کردین طعم گوشت دنبه میداد پنیر سیبزمینی بندری امروز گرفتیم دقیقا مخالف ساندویچ ریخته توی فویل ساندویچ ته کیسه بخدا پول میدیم خرید میکنیم صدقه نمیدین اینجوری رفتار میکنین مشتریها,1
چیش خصوصا مزش حیف دیر سرد بوود,0
پیتزا ضعیف,1
خیارشور شور,0
بسته پول میگیرن همهجا پیتزا جعبه میذارن قطعا,1
موقع ممنون,0
ماست ارسالی روز تاریخ انقضا زمان تماس پیگیری قرار پیک بیاید ماست تعویض منتظر موندن آخر نیامدند واقعا متاسفم,1
سریع پیک بینهایت مودب محترم,0
نونش خمیر نرم نرم راضی نبودم اصلا,1
معمولی گوشت مزه رب گوجهفرنگی میداد,1
کیفیت زمان تحویل افتتاحترین حالت,0
مرغ تازه اضافات غذا,0
پیتزا سفارش بودم بد مزه بیکیفیت,1
بدترین غذایی عمرم خوردم مزهای نداشت,1
پیتزا سرد فاصله محل کمبود محتویات پیتزا,1
آرد مرغ خمیری گوله آرد سوخاری مشکل داره زده میشه یادشون رفته بفرستن خمیری دفعه دیگه سفارش بدم,1
زمان تخفیف رستوران خریداری کردیم مجموع تخفیف میارزید,0
بالای یکساعت غذا سرد بیمزه,1
یکم سرد کج کوله بدست مون طعم,0
پیتزای نپخته خمیر حیف پولی غذا دادم,1
قرمه سبزی افتاده زرشک پلو اصلا نشده غذایی ازتون بگیرم ناراضی باشم کیفیت طعم حجم غذا خوبه فقطای کاش اون سینیهای جوجهترکیبی دارین حق انتخاب میذاشتین جوجههایی باشه تکه آخرم سفارشهای قبلیم,0
پیتزا سرد پنیر پیتزا سفت واقعا پیتزا سرد خوردن فایدهای نداره,0
کیفیت غذا متوسط تاخیر ارسال دقیقه,1
فکت زود مرسی,0
خوشمزه گرم گرم حجم مرسی,0
زمان کمتر میشود لطفا نشان,0
جرات رکورد بدترین ماهیای خوردم مال رستوران هست,1
واقعا یه چیپس کوچیکم توش پنیر بیکیفیت نامرغوب قارچام یه میرفتن سوخاری یه دیگه,1
شکل پیتزا کلا بهم ریخته انگار ازدست پیک افتاده بودمجبور شدیم باقاشق چنگال بخوریم,1
کیفیت غذا پایین سفارش دادم کیفیت پایین تماس گرفتم نارضایتی خودم اعلام مؤثر واقع نشد,1
متشکرم امیدوارم مسائل بهداشتی بخاطر کرونا رعایت,0
چلو کباب وزیری مرسی,0
اب پرتقال تازه,0
برخورد پیک پیتزا گریل میکس نمیشد غذا ایرادی نظرم طراحی کیفیت بسته,0
پیتزا سبزیجات مقایسه جاها فوقالعاده,0
سریع کیفیت,0
دیر دستم,0
لطفا کیفیت رستورانها توجه پیتزا سفارش دادم سس دستم رسیده درست کیفیت نداره,1
کیفیت غذا,0
همچی واقعا ممنون کار مردم راحت کردین سپاسگذارم خدا براتون توفیق خواستارم,0
بستنی اسنایپر نمیشد اسمش گذاشت معجون بستنی اسنایپر توی ظرف ریخته گردو کنجد,1
سگنیچر میکس سنگینه خانمها سفارش میدن حواسشون باشه دقیقه کشید پنجشنبه شب زمانش,0
ممنون اسنپ سوپر شکیبایی سریع موقع اجناس تازه سفارش ارسالشده,0
کوچیک قیمت مناسبه,0
دستبوس هستم وخوب,0
غذاهای سیب کیفیت خوشمزه نمیدونم ساندویچی گرفتیم چی آدم فضاییها,1
غذا گرم دستم مزش مخصوصا خمیر پیتزا سرخشده طعمشو مواد پیتزا,0
شیرینی لهشده وجه نمیتونم شیرینی استفاده,1
اقا چندبار سفارش بودم خدایی قیمت میارزه ایندفه ک سفارش دادم نزدیکی فست فودیتون ب مغازه دیر آمادهشده ب دستم سرد مجبور شدم گرمش نکته دیگ ایندفه خمیر پیتزاتون خمیر کیک ضخیم,1
بدترین بدبوترین پیتزایی خورده بودم امتحان واقعا بد,1
نوشتهی کیک دلنشین,0
غذا اندازه سرد مجبور شدم مجدد گرم,1
پخت سیبزمینی دقت لطفا,0
هست تهدیگ سفارشم واقعا مونده هست نذارن فک میکنم باشه غذا موقع میرسد,0
سالاد کاهو اسفناج سفارش دادم کاهو نداشت سیبزمینی یخزده,1
خوشمزه تایم رسیدنش ایراد اولیش ساندویچ بزرگی یدونه سس تک نفره اونم قرمز کمه نصفشم نمیرسه خودم شخصا سس میزنم سفید قرمز باهم پنیر پیتزاشم فیلههای داخلش قسمتهاش نپخته ممنون,1
ب بستنیی ک داخلش میریزید ممنونم بخاطر کیفیت خوبتون,0
مخلفات گوشت مرغ انگار مخلفات میخوردی,1
نان بربری سفارش دادم برام سنگک فرستادن,1
کیفیت کباب,0
ممنون بسته ونان کیفیت عزیزان امیدواریم هیشه باشید وبمانید ممنون ازشما,0
غذا داغ سریع دستم ممنون مدیریت کرانچی,0
پیتزا اصلا تعریفی نداشت مواد اولیهی نا مرغوب درست اصلا توصیه نمیکنم طعم خمیر پنیر پیتزا بد برخورد پیک محترمانه نکتهی جالب غذا توی باکس قرار سرد نشه,1
وسایل هارو یه کیسه نمیزارن وسیلهها کیک چیپس له میشوند خواهشا رسیدگی,1
غذا نا مرتب دستم دسید انگار موتور پیک غذا چپ د شکل زشتی دداشت همینطور سرد توقع نداشتم دیگه رستوران خرید نمیکنم,1
سیگار خشک قدیمی,1
سلام خسته نباشید برنجش شفته نمک نداشت کبابشم بو میداد واقعا نمیشد خورد برنجش بد,1
کیفیت ارسال سریع ممنونم راضی هستم,0
شیر برند ماهشام کمچرب خواستم برند چوپنو پرچرب فرستادن,0
بدترین قارچی عمرم خوردم,1
کیفیت حجم غدا غذا گرم دستم نوشابه خنک بسته,0
سفارش آوردند نوشابه اشتباه پیک سریع پیشنهاد سوپر مارکت میکنه برام میاره واقعا حس احترام گذاشت ول نکرد بره,0
سلام عدد ماست کمچرب سفارش بودم ارسال نشد,1
ممنونم ازتون واقعا تازه خوشمزه,0
برنج چرب,1
دلیل تاخیر ارسال پیتزا سرد غیرقابل خوردن,0
توضیحات نوشته بودم گوشت همبرگر پخته بشه ظاهرا توضیحمو نخونده,0
سفارش ارسال سفارش دادا ایم فرق میکنه کلا یه دیگه فرستادند,1
کیک یزدی خوشمزه قطعا معلوم موضوع,0
یه سس پنیرم اضافه کنین منو دیگه حرف ندارین,0
آقا دم پیکتون گرم طبقه آوردن برامون,0
شیرینی رولت صورت لهشذه خورد دستم,1
سرویس ضعیف غذام دقیقه آسانسور پیک غرا گذاشته آسانسور رفته چنگال چاقو اصلا مگه میشه مزهی پیتزاش فوقالعاده,1
کیفیت سالاد قیمت طعم مرغ سس ساندویچ,0
سریع اومد ممنونم,0
سلام واقعا کیفیت پایین اومده سیبزمینی سرخکرده شیرین اصلا برشته کیفیت غذا پایین,1
فوری تحویلم لذت میبرم هربار سفارش دادنی ممنونم مدیریت مجموعه,0
قیمت بالای پیتزاها مالیات میگیرید مالیات مشتری بده,1
گرم خوشمزه,0
kheyli khob va khoshmaze mod mamnon bergerator,0
محل رستوران بودیم غذا سرد تحویل,1
دسمال بزارین چنگالی مصرف,0
کنجدی یکم سوخته سبزیجات واقعن,0
بسته کیفیت تجربه دوست داشتم,0
SAD,1
معمول سوپرمارکت سفارشی آیتمهاش اون سفارش دادم تفاوت نداشته باشه کلوچه سنتی کلوچه گردویی فرستادن همقیمته میخواستم دلیلی سوپرمارکت سفارش میدم اینه سوپر دیگهای توی منطقه اسنپفود,0
تماس پیگیری امد پیک بازم اشتباه فرستادن یکسری مواردم ارسال نکردن واقعا کلافه شدم تومن خرید اخرم اون جنسایی درست نفرستادن تاکید موردی ندارید جنس جایگزین نفرستید لطفا الان نمیدونم اینجنسا چیکار,1
غذا کیفیت,0
شیرینی گردوییها مونده سفت,1
بحای چیپس گرمی مزمز چیپس گرمی چیتوز ارسالشده,1
نوشابه سفارش دادم پولش پرداخت نفرستادین لطفا پیگیری بشه,1
غذا آوردن,1
سلام دومین مواد شیمیایرو خوراکی قرار میدهند بنده قبلا یکبار تلفنی تذکر بودم,1
غذا سرد یخی وچرا نون دورچین نداره واسه بسته پول میگرید یه نصف نون خیلیه,1
ناپلئونیها پاشیده کیفیتش معمولی پایین اصلا تازه,1
غذا واقعا بد دلدرد گرفتیم واقعا انتظار نمیرفت,1
دقیق سریع دستم,0
بدترین مرغ سوخاریای خوردم,1
چی تحویل اسنپ بد نمیدونم اسنپ چش چ وضعه ساعت واسه بستنی دقیقه ایی,1
غذا بیمزه گوشت استیک تازه,1
سالاد روز ساندویچ ژامبون خوشمزه راضی نبودم,1
نان کیفیت,0
لقمه سلوس تخممرغ نظرم یکم کوچیک,0
سلام غذای سفارش دادهشده غذای دریافتی وزن ارایه اسنپ فود وزن جوجه ساده هشتادو گرم وزن جوجه تندوری هفتادو گرم وزن جوجه ترش نود گرم منوی رستوران سیخ جوجه گرم سیخ جوجه تندوری گرم سیخ جوجه ترش گرم ذکر خواهشمند سایت اصلاح نمایید,0
کیفیت پیتزا انقدر دیر یخ پنیرش کش نمیاومد دیگه بهتره بسته زمان ارسال دقت بشه قیمت پرداختی توقع یه غذای دلچسب,1
شیرینی مونده اصلا کیفیت نداشت شیرینیتر سفارش میدادم راضی بودم شیرینی خشک پای سیبش واقعا,1
حدودا بیست دقیقهای سفارش گرم گرم برخورد پیک پیتزا مرغ قارچ اگرچه تکههای مرغ خوشطعم واقعا پیتزا مخصوص مقابل اون معمولیتر خودی بد ممنون,0
حدوده ربع تحویل,0
بد افت کیفیت دارین,1
شیک نوتلا تیرامیسو نسکافه طمع سفارش دادم,0
گوشت ساندویچ خشکشده بوی کلهپاچه میداد,0
تاخیر پیک اسنپ فود,0
نصفش نون خامهی گذاشتن,1
کوبیده جوجهکباب ران میتونست باشه تشکر,0
معجون انارش خوشمزه ویتامینشو اصلا مزشو دوست نداشتم اگه زودتر ارسال اینقدر بستنیا اب نشه بهتره سری ارسال کشید,1
عدد شیرکاکائو مزرعه ماهشام سفارش دادم فاکتور عدد خورده عدد ارسال,1
قرار سس ریحون باشه سس مایونز پنیرش سر بد,0
شیرینیها خورد ریخته ظاهر بدی,1
شیرینی کشمشی مونده بوی موندگی روغن میداد شیرینی خامهای بدک راضی نبودم,1
کیفیت اصلا اون انتظار داشتم رستوران طریقت تخفیف نزنید کیفیت ندین,1
افتضاح واقعا متاسفام سال مشتری بودم بسته کیفیت غداتون برسید,1
نصف نوشیدنی ریخته پاکتشون قدری خیس کلا پاره مدل بسته نوشیدنیها مشکل داره حمل نقل ساندویچ شدت سرد راضی نبودم,1
ممنون,0
جفت پیتزاها سوخته اینترنتی پرداخت میکنیم کاری دستمون برنمیاد,1
اولا داخل منو اندازه پیتزاهاتون بنویسید کارتن کاغذ استفاده کیفیت غذا زمان ارسالتون سرعت ببخشین واسه یه پیتزا دقیقه خیلیه,1
نون باگت بیات اصلا راضی نبودم,1
صبحانهای سفارش بودیم ساعت تاخیر دیگه وقت ناهار املت مافین واقعا خوشمزه اندازش,1
خمیر خشک سختی میشد خوردش بدرد آبدوخیار میخورد,1
هرچی باروژ بگم کمه طعم غذا گرم پیک مودب همزمان ارسال منظم چی,0
کیفیت طعم پیتزا مخلوط اصلا معمولی بودو بیمزه,1
عجیبه برنج دم نکشیده,1
کیفیت غذا دیر پیتزا سرد سیبزمینی پنیر جعبه بسته حالت خمیر چسبیده,1
دلستری غذا سفارش دادم پاکت ارسالی نداشت,1
کیفیت قیمت بالاست,0
بدترین اکبرجوجهای خوردم,1
خوشمزه چنجه گوسالهاش خوشمزه,0
شیرموزها یکیشون سوراخ ریخته توی کیسه عکس گرفتم ازش آخر وقت دیگه تماس نگرفتم بگم بهشون,1
چیزبرگر سابق بوکای برگردانید چیزبرگر بوکا حق مسلم ماست,1
خوشمزه,0
سفارشم بال کبابی خوشمزه خوشطعم مشتریش شدیم,0
بد دفعه رفتاری واقعا بعید بخواد سابقه خراب کنه غذای سرد دهن افتاده انگار یخچال آورده فرستاده مزهاش مذخرف دیگه رفتاری غذا سفارش نمیدم,1
عکس تبلیغات اسنپ فود نمایش گذاشتهاند نمیفرستند صرفا عکسها آتلیهای فوتوشاپی میباشد صرفا جهت تبلیغ میباشد وقتیکه سفارش دیدن میل خوردنش نداشت باقلوایه دریافتی شبیه باقلوا بد بد انتظار,1
بارها سیب پن غذا گرفتم دفعه غذای کیفیتی داره زمان نسبتا مناسبی غذا تحویل میده,0
زود سفارشام تازه خریدم راضیام,0
غذا سرد خمیر اصلا پیشنهاد نمیشه قرار میکس باشه مرغ گوشت,1
شیرینیتر مانده بیات تحویل گرفتیم,1
تاخیر سفارش دستمون برخورد پیک جالب دوناتها چرب ب حجم وکیفیت گرون هستن اصلا راضیکننده,1
متوسط داغ دستم ممنون هزینه بسته بندیشون الکیه سادهترین بسته دلیلی نداره هزینه بسته بگیرن,0
توجه تخفیفی غذا قیمت خوشمزه غذای خوبتون متشکرم,0
فاصله سیبزمینی پیتزا سرد غذای سرد مزه نداشت گرم خوشمزه میبودن ممنون,0
ابنکه تاخیر نداشت زمان ارسال ساعت دقیقه تقریبا همون ساعت کشید زمان,1
غذایی برخورد پیک اسنپ فود,0
دقیقه ارسال اونم آب خالص بستنی صورتی نوشته بودم بستنی تحویل بشه اب نشده تحویل بشه بارم اینجوری تحویل میشه رعایت نمیشه اسنپ اکسپرس ارسال نمیکنه بستنیفروشی اب تحویل پیک میده اولشون کیفیت پایین تحویل میشه,1
حساب بودم نوشته صورتی تحویل,1
تاریخ انقضا محصولات ارسالی آخرشه جنسای کهنه ته انبارتونو میفرسین واس مشتری,1
غا سریع داغ ممنونم چیکن,0
پیتزا ایتالیایی بقیه پیتزاها ازین پپرونی کاشکی قیمتش هروز سفارش میدادیم,0
نون خامهای مونده بیکیفیت کاش انقدر مونده هستش موجودی ندن,1
نظرم پیتزا بیکن پیتزا چانو,0
راضی بودم دست عزیزان درد نکنه ممنونم,0
سرد غذا مخصوصا سیبزمینی پنیری,1
سفارش اشتباه آدرس ارسالشده لطفا مدیریت باگت رسیدگی,1
مرتبه کوک کیک خریدم شیرینیش اندازه مواد بکار برده تازه دفعه واقعا کیک اندازه شیرین خامه انگار روزی مونده دهن میماسید کیک انداخته قیمت واقعا تین کیفیتی,1
سیبزمینی کهنه سفارش تیکه معمولا عدد ران میگذراند تیکه مرغ,0
وااقعا فست فودی باگت مواد تازه کیفیت استفاده نمیکنه ژامبون داخل پیتزا وااقعا کیفت ممنونم ازتون,0
